month,calendar_records,availability_rate
2025-09,465329,0.35580847099579005
2025-10,759221,0.44687120087563437
2025-11,734730,0.49174118383623916
2025-12,759221,0.43840462790149376
2026-01,759221,0.45070275980248176
2026-02,685748,0.47143848760769264
2026-03,759221,0.40823554669852385
2026-04,734730,0.41900834320090374
2026-05,759221,0.42704693363328994
2026-06,734730,0.35858206415962324
2026-07,759221,0.32927566545182496
2026-08,759221,0.3280098943522374
2026-09,269401,0.3283024190704563
