room_type,listing_count,average_number_of_reviews,median_number_of_reviews,average_reviews_per_month
Entire Home/Apt,17703,46.386205727842736,15.0,1.4842277310384688
Private Room,6563,18.446899283864088,3.0,0.7257301656495205
Hotel Room,55,11.072727272727272,5.0,0.16583333333333333
Shared Room,170,5.252941176470588,1.0,0.5283333333333333
