segment_id,listing_count,average_availability_365,median_availability_365,average_occupancy_rate_estimate,median_occupancy_rate_estimate,average_number_of_reviews,median_number_of_reviews,average_reviews_per_month,median_reviews_per_month,average_review_scores_rating,median_review_scores_rating,average_host_tenure_years,median_host_tenure_years
0,12412,38.272881082823076,0.0,0.8950532710280374,1.0,18.449967773122783,6.0,0.738445236882323,0.45,4.77256953642384,4.86,9.17488638195004,9.84
1,8705,295.46479035037333,311.0,0.1903903733486502,0.1479,22.24491671453188,10.0,1.0836713483146068,0.86,4.7597499999999995,4.84,7.373515687851971,7.41
2,2908,173.18225584594222,173.0,0.5245504814305365,0.5246500000000001,178.681568088033,153.0,3.91259628610729,3.505,4.851695323246217,4.88,8.875264786795048,9.48
3,466,225.156652360515,278.5,0.383131330472103,0.237,3.208154506437768,2.0,0.34549356223175964,0.2,2.8534763948497854,3.0,6.51461373390558,6.405
