sentiment_label,review_count,average_sentiment_score,average_positive_word_count,average_negative_word_count,review_share
positive,809852,2.437755293559811,2.5115712500555656,0.07381595649575479,0.8964479782510757
neutral,83959,0.0,0.22599125763765648,0.22599125763765648,0.09293658076535226
negative,9590,-1.3101147028154327,0.4978102189781022,1.807924921793535,0.01061544098357208
