room_type,listing_count,total_reviews,average_sentiment_score,average_positive_review_share,average_negative_review_share
Entire Home/Apt,15522,789508,2.1504161734249263,0.8860132279124778,0.01691053948460438
Private Room,4527,112577,2.1029491951058588,0.8499324503936707,0.017605906490261596
Shared Room,96,741,1.602408701902012,0.7306887360859159,0.032540115125507564
Hotel Room,48,575,1.736872880019041,0.890911571510708,0.0264816379866397
