host_id,host_name,listing_count,average_availability_365,average_number_of_reviews
90729398,Flexistayz,292,94.66,5.8
279001183,MadeComfy,196,238.79,17.18
343442154,Advante Homes,143,93.47,22.69
446080599,Bedspoke,116,324.56,38.03
392306676,Rodelia,98,333.86,4.08
38814953,Maddy,98,328.31,5.2
244502930,Zhi Wu,94,278.09,11.67
1739996,Paul & Dan,94,237.94,191.37
22860147,Adji,85,108.38,45.94
34247003,Juliet,79,126.86,25.34
